Date,Max_Price,Min_Price,Model_Price
2020-09-23,9500,8000,8800
2020-09-22,9500,8000,8800
2020-09-21,9500,8000,8800
2020-09-18,9200,8000,8600
2020-09-17,9500,8000,8800
2020-09-15,9200,8000,8600
2020-09-14,9200,8000,8600
2020-09-11,9200,8000,8600
2020-09-10,9200,8000,8600
2020-09-09,9200,8000,8600
2020-09-09,9200,8000,8600
2020-09-08,9200,8000,8600
2020-09-08,9200,8000,8600
2020-09-04,9200,8000,8600
2020-09-02,9200,8000,8600
2020-07-03,9300,8300,8800
2020-07-03,9300,8300,8800
